6559484,6559484,0,(少于10人评价),(美)乔·L.弗罗斯特//苏·C.沃瑟姆//斯图尔特·赖费尔|主编:刘晶波|译者:唐晓娟//张胤 / 江苏教育 / 2011-6 / 49.80元
1561483,1561483,0,(少于10人评价),白学军 / 安徽教育出版社图书发行部 / 2004-7 / 36.00元
4295346,4295346,8.5,(33人评价),[法] 弗朗索瓦兹·多尔多 / 王文新 / 上海社会科学院出版社 / 2010-2 / 42.00元
3759379,3759379,9.1,(790人评价),戈登 / 天津社会科学院出版社 / 2009-6-1 / 29.80元
25934389,25934389,0,(少于10人评价),Debra Levin Gelman / . / Rosenfeld Media / 2014-4-15 / USD 39.00
27152294,27152294,6.4,(45人评价),李群锋 / 古吴轩出版社 / 2017-9 / 38.00元
26108486,26108486,8.6,(18人评价),[澳] 苏珊·佩罗 / 春华、淑芬 / 天津教育出版社 / 2014-8-1 / 45
26605896,26605896,9.0,(113人评价),（美）罗伯特S.费尔德曼（Robert S. Feldman ） / 苏彦捷 等 / 机械工业出版社 / 2015-9-1 / 79.00元
26933370,26933370,6.9,(13人评价),【澳】迈克尔·纳格尔（Michael C Nagel） / 教育科学出版社 / 2016-11-7 / 35
3134580,3134580,8.9,(33人评价),Ron Leaf、John McEachin / 蔡飞 / 华夏出版社 / 2008 / 38.00元
25894639,25894639,8.3,(21人评价),（美）斯坦利•格林斯潘、（美）南希•布鲁斯劳•刘易斯 / 孙春晨 / 华夏出版社 / 2014-1-1 / 49.00
1408206,1408206,,(14人评价),[美]查特尼克 / 高桦、闵容 / 中国轻工业出版社 / 2002-9 / 20.00元
24746910,24746910,0,(目前无人评价),张曦明  [英]陈雁茵 / 广东人民出版社 / 2013-6-1 / 26.00元
1142281,1142281,0,(少于10人评价),马塞尔・卢弗 / 团结出版社 / 2004-1-1 / 12.00
6991366,6991366,0,(少于10人评价),孙莉莉 / 安徽少年儿童出版社 / 2011-12 / 32.00元
1025403,1025403,7.7,(113人评价),刘金花 编 / 华东师范大学出版社 / 2006-9 / 34.00元
35049780,35049780,,(11人评价),高岚 / 中国妇女出版社 / 59.8元
